0	1	2
9.B.174.1.3	S41 family peptidase of 554 aas and one N-terminal TM	Peptidase of Alistipes finegoldii
9.B.174.1.4	Carboxyl-terminal-processing peptidase 3, chloroplastic of 523 aas and 1 N-terminal TM	Peptidase of Oryza sativa
TC#	Name	Organismal Type
9.B.174.2.1	S41 family peptidase of 377 aas with one N-terminal TMS.	UP of Sphingomonas sp. 35-24ZXX
9.B.174.2.2	Uncharacterized protein of 730 aas and 1 N-terminal TMS.  Only the C-terminal sequence is similar to other members of this family.	UP of Arsukibacterium ikkense
9.B.174.2.3	Interphotoreceptor retinoid binding protein, partial of 409 aa	Retinoid BP of Abrawayaomys ruschii
9.B.174.2.4	Uncharacterized protein of 458 aas and one N-terminal TMS.	UP of Saccharibacter floricola
9.B.174.2.5	S41 family peptidase of 531 aas and 1 N-terminal TMS.	S41 peptidase of Flavobacterium columnare
TC#	Name	Organismal Type
1.H.3.1.1	Amastin of 174 aas and 4 TMSs in a 1 + 3 TMS arrangement as is typical of members of the Amastin family (Slathia and Sharma 2018).	Amastin of Trypanosoma cruzi
1.H.3.1.10	Uncharacterized protein of 270 aas and 4 distant TMSs in an apparent 2 + 2 TMS arrangement.	UP of Strigomonas culicis
1.H.3.1.11	Uncharacterized protein of 199 aas and 4 TMSs in a 21 + 3 TMS arrangement.	UP of Leishmania guyanensis
1.H.3.1.12	g-amastin of 216 aas and 4 TMSs in a 1 + 2 + 1 arrangement.	g-Amastin of Crithidia sp.
1.H.3.1.13	Amastin-like protein of 250 aas and 4 TMSs in a 1 _ 2 + 1 TMS arrangement.	Amastin-like surface protein of Angomonas deanei
1.H.3.1.14	Amastin-like protein of 249 aas and 4 TMSs in a 1 + 2 + 1 TMS arrangement.	Amastin protein of Leptomonas pyrrhocoris
1.H.3.1.15	Uncharacterized protein of 190 aas and 4 TMSs	UP of Trypanosoma conorhini
1.H.3.1.16	Uncharacterized protein of 194 aas and 4 TMSs in a 1 + 3 TMS arrangement.	UP of Saitozyma podzolica
1.H.3.1.17	Uncharacterized protein of 490 aas and 8 TMSs in a 1 + 3 + 1_ 2 + 1 TMS arrangement. This protein belongs to the Pfam family, PF02681 and the PAP2 (CL0525) clan.	UP of Leishmania major
1.H.3.1.2	Amastin-like protein of 456 aas and 4 C-terminal TMSs in a 1 + 3 TMS arrangement.	Amastin of Trypanosoma brucei
1.H.3.1.3	Amastin-like protein of 221 aas and 4 TMSs in a 1 + 3 TMS arrangement.	Amastin-like protein of Leishmania braziliensis
1.H.3.1.4	"Large amastin-like protein of 461 aas and 10 TMSs in a 2 + 1 + 4 + 3 TMS 
arrangement.  This protein may have 2 N-terminal TMSs followed by two 
4-TMS Amastin-like domains. The last 4 TMSs show the greatest sequence similarity with shorter amastins."	Large mmastin-like protein of Trypanosoma cruzi
1.H.3.1.5	Putative amastin-like surface protein of 262 aas and 5 or 6 TMSs in a 2 + 3 or 3 + 3 TMS arrangement, respectively.	Amastin-like protein of Leishmania major
1.H.3.1.6	Amastin-like protein of 203 aas and 4 TMSs in a 1 + 2 + 1 TMS arrangement.	Amastin-like protein of Leishmania braziliensis
1.H.3.1.7	Uncharacterized protein of 331 aas and 7 TMSs in a 2 + 2 + 2 + 1 TMS arrangement.	UP of Angomonas deanei
1.H.3.1.8	Amastin-like protein of 380 aas and 8 TMSs in a 1 + 4 + 3 TMS arrangement, possibly with two tandem amastin-like domains.	Internally duplicated amastin domains in Bodo saltans
1.H.3.1.9	Putative amastin protein of 431 aas and 9 TMSs in a 2 + 2 + 2 + 2 + 1 TMS arrangement.	Amastin-like protein of Phytomonas sp.
TC#	Name	Organismal Type
1.H.3.2.1	Uncharacterized pali-domain containing protein of 523 aas and 4 TMSs at the N-terminus of the protein in a 1 + 3 TMS arrangement with a long C-terminal hydrophilic domain.	UP of Suhomyces tanzawaensis
1.H.3.2.2	Uncharacterized protein of 580 aas and 4 TMSs in a 1 + 3 arrangement with a long C-terminal hydrophilic domain.	UP of Candida parapsilosis
1.H.3.2.3	Uncharacterized protein of 553 aas and 4 TMSs in a 1 + 3 TMs arrangement followed by a long hydrophilic domain.	UP of Clavispora lusitaniae
1.H.3.2.4	Putative pH signal transduction protein PalI of 561 aas and 4 N-terminal TMSs in a 1 + 3 TMS arrangement followed by a large hydrophilic domain.	PalI protein of Aspergillus flavus
1.H.3.2.5	Uncharacterized protein of 231 aas and 4 TMSs in a 1 + 3 TMS arrangement.	UP of Venustampulla echinocandica
1.H.3.2.6	Uncharacterized protein of 309 aas and 4 TMSs in a 1 + 3 TMs arrangement with a C-terminal hydrophilic domain.	UP of Komagataella pastoris
1.H.3.2.7	Tos7p of 515 aas and 4 N-terminal TMSs in a 1 + 3 TMS arrangement. Tos7 contributes to cell surface-related functions probably as an auxiliary component of the MCC/eisosome complex that  interacts with and regulates the secretory pathway (Zhu et al. 2020).	Tos7 of Saccharomyces cerevisiae (baker's yeast)
TC#	Name	Organismal Type
1.H.3.3.1	Uncharacterized protein of 367 aas and 4 TMSs in a 1 + 3 TMS arrangement.	UP of  Monosiga brevicollis
1.H.3.3.2	Uncharacterized protein of 597 aas and 4 N-terminal TMSs in a 1 + 3 TMS arrangement followed by a large hydrophilic domain that shows extensive sequence similarity with 1.W.6.4.1.	UP of Monosiga brevicollis
1.H.3.3.3	Uncharacterized protein of 262 aas and either 4 or 6 TMSs in a 1 + 3 or 3 + 3 TMS arrangement, respectively.	UP of Salpingoeca rosetta
1.H.3.3.4	Uncharacterized protein of 179 aas and 4 TMSs in a 1 + 2 + 1 TMS arrangement.	UP of Ancylostoma ceylanicum
1.H.3.3.5	Uncharacterized protein of 195 aas and 4 TMSs in a 1 + 2 + 1 TMS arrangement.	UP of Steinernema carpocapsae
1.H.3.3.6	Unharacterized protein of 209 aas and 4 TMSs in a 1 + 3 TMS arrangement.	UP of Caenorhabditis brenneri
TC#	Name	Organismal Type
1.H.3.4.1	Uncharacterized protein of 251 aas and 4 TMSs in a 1 + 3 TMS arrangement	UP of Leptomonas pyrrhocoris
1.H.3.4.2	Uncharacterized protein of 227 aas and 4 or 5 TMSs in a 1 + 2 + 1 or 1 + 3 + 1 TMS arrangement.	UP of Trypanosoma theileri
1.H.3.4.3	Uncharacterized protein of 221 aas and 4 TMSs in a 1 + 3 TMS arrangement.	UP of Trypanosoma equiperdum
TC#	Name	Organismal Type
2.A.69.1.1	"Auxin efflux carrier, PIN-FORMED1 (PIN1) (Reinhardt et al., 2003; Carraro et al. 2012). Catalyzes auxin efflux without the participation of any other protein (Petrasek et al., 2006).  PIN1 determines the direction of
intercellular auxin flow (Wang et al. 2014). It consists of two TMS bundles, each of 5 TMSs at the N-terminus and the C-terminus of the protein (Nodzyński et al. 2016), confirming previous bioinformatic predictions (Mansour et al. 2007). Arabidopsis VASCULATURE COMPLEXITY AND CONNECTIVITY (VCC) (TC# 8.A.175) is a plant-specific transmembrane protein that controls the development of veins in cotyledons. Yanagisawa et al. 2021 showed that the expression and localization of PIN1 is altered in vcc developing cotyledons, and that overexpression of PIN1-GFP partially rescues vascular defects of vcc mutants. Genetic analyses suggested that VCC and PINOID (PID), a kinase that regulates PIN1 polarity, are both required for PIN1-mediated control of vasculature development. VCC expression is upregulated by auxin, likely as part of a positive feedback loop for the progression of vascular development. VCC and PIN1 localized to the plasma membrane in pre-procambial cells but were actively redirected to vacuoles in procambial cells for degradation. In the vcc mutant, PIN1 failed to properly polarize in pre-procambial cells during the formation of basal strands, and instead, it was prematurely degraded in vacuoles. VCC plays a role in the localization and stability of PIN1, which is crucial for the transition of pre-procambial cells into procambial cells that are involved in the formation of basal lateral strands in embryonic cotyledons (Yanagisawa et al. 2021). Three inward-facing conformational structures of Arabidopsis thaliana PIN1: the apo state, bound to the natural auxin indole-3-acetic acid (IAA), and in complex with the polar auxin transport inhibitor N-1-naphthylphthalamic acid (NPA) have been solved (Yang et al. 2022). The transmembrane domain of PIN1 shares a conserved NhaA fold. In the substrate-bound structure, IAA is coordinated by both hydrophobic stacking and hydrogen bonding. NPA competes with IAA for the same site in an intracellular pocket, but with a much higher affinity (Yang et al. 2022). PIN-FORMED is required for shoot phototropism/gravitropism and facilitates meristem formation in Marchantia polymorpha (Fisher et al. 2023). Phytopathogens causes worldwide crop losses. Parmagnani et al. 2023 showed that microbial volatile organic compound (mVOC; 1-nonanol and 1-dodecanol) profile of Erwinia amylovora, enhances A. thaliana shoot and root growth. E. amylovora mVOCs triggered early signaling events including plasma transmembrane potential Vm depolarization, cytosolic Ca2+ fluctuations, K+-gated channel activity, and reactive oxygen species (ROS) and nitric oxide (NO) bursts from a few minutes to 16 h upon exposure. These early events were followed by the modulation of the expression of genes involved in plant growth and defense responses as well as responses to phytohormones, including abscisic acid, gibberellin, and auxin (including via the efflux carriers PIN1 and PIN3). A unique mutation in PIN-FORMED1 and a genetic pathway for reduced sensitivity of Arabidopsis roots to N-1-naphthylphthalamic acid have been identified (Huang et al. 2023)."	Plants
2.A.69.1.2	Auxin transporter, ethylene-insensitive root 1 (EIR1) auxin:H+ symporter	Plants
2.A.69.1.3	Auxin efflux carrier, PIN7 (promotes embryonic axis formation) (Friml et al., 2003)	Plants
2.A.69.1.4	Auxin efflux facilitator PIN3: functions in auxin redistribution through the root cap in response to the gravity sensors, ARL2 (Q6XL73) and ARG1 (Q9ZSY2). Both ARG1 and ARL2 are DnaJ homologues and   show regions homologous to translocation proteins, NPL1 and Sec63 (3.A.5.8.1 and 3.A.5.9.1, respectively). Cryo-EM structures of AtPIN3 in the apo state and in complex with its substrate indole-3-acetic acid (IAA) and the inhibitor N-1-naphthylphthalamic acid (NPA) at 2.6-3.0 Å resolution have been determined (Su et al. 2022). AtPIN3 exists as a homodimer, with TMSs 1, 2, and 7 in the scaffold domain involved in dimerization. The dimeric AtPIN3 forms a large, joint extracellular-facing cavity at the dimer interface while each subunit adopts an inward-facing conformation. The structural basis for the recognition of IAA and NPA were revealed and elucidated the molecular mechanism of NPA inhibition. The AtPIN3 structures support an elevator-like model for the transport of auxin, whereby the transport domains undergo up-down rigid-body motions and the dimerized scaffold domains remain static (Su et al. 2022). CslPIN3 is involved in the regulation of root growth and development as well as auxin accumulation in tea plants (Hu et al. 2023).	Plants
2.A.69.1.5	Auxin efflux carrier #10, PIN10/SLM1 (important for development; orthologous to A. thaliana PIN1 (Zhou et al., 2011)).	Plants
2.A.69.1.6	Putative auxin efflux carrier component 8 (AtPIN8)	Plants
2.A.69.1.7	Auxin efflux carrier, PIN5.  Regulates auxin homeostasis and metabolism.  Mediates auxin transport across the endoplasmic reticular membrane, for the cytosol to the ER lumen (Mravec et al. 2009).	Plants
2.A.69.1.8	The auxin efflux carrier, AEC3 or PIN1, of 634 aas and 10 TMSs, plays a role in fruit development (Li et al. 2017).	AEC3 of Momordica charantia (bitter gourd)
2.A.69.1.9	Pin1B of 554 aas and 10 TMSs in a 5 + 5 TMS arrangement with a large hydrophilic loop between the two hydroophobic halves. This auxin transporter, OsPIN1b, is a regulator of leaf inclination in rice (Oryza sativa L.) (Zhang et al. 2023).	Pin1B of Oryza sativa L.
TC#	Name	Organismal Type
2.A.69.2.1	AEC family member of 416 aas and 10 TMSs in a 5 + 5 TMS arrangement, with a large hydrophilic loop between the two repeat units.	Amoebae
2.A.69.2.2	Poorly characterized transporter YBR287w.  Deletion of the gene leads to poor growth on glucose-minimal medium at 15 degrees C in the FY 1679 genetic background, but is not involved in mating or sporulation (Dueñas et al. 1999).	Fungi
2.A.69.2.3	Auxin efflux carrier family member	Fungi
2.A.69.2.4	AEC family member	Amoeba
2.A.69.2.5	Uncharacterized protein of 616 aas and 11 TMSs in a 5 + 6 arrangement	Rhodophyta (red algae)
2.A.69.2.6	Uncharacterized transporter, nonessential for growth or sporulation, YLR152c, of 576 aas and 10 TMSs (Watson 2001).	UP of Saccharomyces cerevisiae
2.A.69.2.7	Uncharacterized protein of 442 aas and 10 TMSs in a 5 + 5 TMS arrangement.	UP of Citrus clementina
TC#	Name	Organismal Type
2.A.69.3.1	AEC homologue	Actionobacteria
2.A.69.3.2	Malate transporter (MleP) homologue	γ-Proteobacteria
2.A.69.3.3	Putative malonate transporter, MdcF	Bacteria
2.A.69.3.4	Putative malonate transporter, MdcF	Bacteria
2.A.69.3.5	Uncharacterized transporter YfdV	Bacteria
2.A.69.3.6	Putative MdcF malonate transporter of 316 aas and 10 TMSs.	Proteobacteria
2.A.69.3.7	AEC family transporter, auxin efflux carrier, of 318 aas and 10 TMSs in a 5 + 5 TMS arrangement. The efflux mechanism of the substrate, indole 3-acetic acid, has been examined (Rai et al. 2021).	AEC of Bacillus licheniformis
2.A.69.3.8	GPR155 (GP155) of 870 aas and possibly 17 TMSs in a 15 + 2 TMS arrangement.  The N-terminal 15 TMSs may consist of 3 repeats, each of 5 TMSs in a LSLSL (L = large; S = small peak of hydrophobicity).  It may play a role in several types of cancer (Lee et al. 2022).  GPR155 matches the first 10 TMSs (5 + 5 TMS arrangement while TMSs 6 - 10 are similar to the N-terminal half of the sodium bile transporter of the AsbT (SLC10) family.  TMSs 11 - 17 are similar to GPCR proteins with 7 TMSs (Gyimesi and Hediger 2022). Lysosomal GPCR-like protein LYCHOS (GRP155) signals cholesterol sufficiency to mTORC1 (Shin et al. 2022).	GPR155 of Homo sapiens
TC#	Name	Organismal Type
2.A.69.4.1	Putative membrane permease-like protein. May belong to the BART superfamily (297aas; 10TMS)	Bacteria
2.A.69.4.2	Uncharacterized transporter MJ1031	Archaea
2.A.69.4.3	Uncharacterized transporter MTH_1382	Archaea
2.A.69.4.4	AEC homologue	Proteobacteria
2.A.69.4.5	Malate permease, MleP (Labarre et al. 1996). Activated a few minutes after rehydration (Costantini et al. 2011).	Firmicutes
2.A.69.4.6	Putative auxin efflux carrier of 333 aas and 10 TMSs.	Auxin efflux carrier of Bifidobacterium longum
2.A.69.4.7	Uncharacterized protein of 308 aas and 10 TMSs (Hug et al. 2016).	UP of Candidatus Peribacter riflensis
2.A.69.4.8	Uncharacterized protein of 388 aas and 10 TMSs in a 5 + 5 TMS arrangement.	UP of Entamoeba histolytica
TC#	Name	Organismal Type
9.B.234.1.1	Protein containing a DUF456 domain of 160 aas and 4 TMSs.	DUF456 protein of Halorubrum distributum
9.B.234.1.2	DUF456 domain-containing protein of 159 aas and 4 TMSs.	DUF456 protein of Oceanithermus profundus
9.B.234.1.3	DUF456 protein of 158 aas and 4 TMSs.	DUF456 protein of Nocardia farcinica
TC#	Name	Organismal Type
3.A.4.1.1	Arsenical resistance efflux pump (ATP-dependent)	Bacteria; eukaryotes; archaea
3.A.4.1.2	Arsenical pump, ArsA/ ArsB (12-13 TMSs) (Baker-Austin et al., 2007)	Archaea
TC#	Name	Organismal Type
TC#	Name	Organismal Type
TC#	Name	Organismal Type
TC#	Name	Organismal Type
2.A.67.1.1	Oligopeptide transporter, OPT1	Yeast
2.A.67.1.2	Sexual differentiation process, ISP4 protein (tetra peptide transporter)	Yeast
2.A.67.1.3	The YJL212c gene protein (oligopeptide transporter, Opt1p; transports the mammalian pentapeptide, enkephalin, and the tripeptide, glutathione)	Yeast
2.A.67.1.4	"High affinity glutathione uptake porter, Hgt1p or OPT2 of 877 aas and ~12 TMSs in a 6 + 6 TMS arrangement. TMS 9 plays a role in glutathione recognition (Thakur & Bachhawat et al., 2010; Thakur and Bachhawat 2015). OPT2 shows highest affinity for reduced glutathione but also transports
oxidized glutathione and glutathione conjugates with lesser affinities (Zulkifli et al. 2016). Residues have been identified that are essential for H+-dependent glutathione uptake (Zulkifli and Bachhawat 2017).  OPT2 is upregulated to  facilitate the uptake of oligopeptide and amino acid into yeast cells (Zhu et al. 2023)."	Yeast
2.A.67.1.5	The glutathione (tripeptide) uptake transporter, Opt1 or Pgt1 (Dworeck et al., 2009).  Transports γ-Glu-Cys-Gly and Glu-Cys-Gly (Thakur et al., 2008).  Mutations in the N-terminus allow functional expression in S. cerevisiae (Thakur and Bachhawat 2013).	Yeast
2.A.67.1.6	Tetra or penta oligopeptide uptake transporter OPT9 (highly expressed in microspores and bipolar pollen; Bock et al., 2006)	Plants
2.A.67.1.7	"Oligopeptide transporter 3, Opt3, of 737 aas and 15 - 17 TMSs (Koh et al. 2002).  It may be involved in the translocation of tetra- and 
pentapeptides across the cellular membrane, but it also acts as a metal transporter as a component capable of transporting Fe2+ and/or Cu2+ (Wintz et al. 2003). It is essential for early embryo development in Arabidopsis (Stacey et al. 2002). OPT3 proteins are involved in ROS regulation, plant stress responses, and basal pathogen resistance. The transport of iron through OPT3s may occur with glutathione (GSH) (Kurt 2021)."	Opt3 of Arabidopsis thaliana (Mouse-ear cress)
TC#	Name	Organismal Type
2.A.67.2.1	'Yellow Stripe1' (YS1) Fe3+-phyto siderophore:H+ symporter. It takes up various metal cations (Fe3+, Zn2+, Cu2+, Ni2+, Mn2+ and Cd2+ when complexed with phytosiderophores, and Ni2+, Fe2+ and Fe3+ when complexed with nicotinamine) (Curie et al., 2001; Schaaf et al., 2004)	Plants
2.A.67.2.10	"Ferric (Fe3+)-phytosiderophore uptake mediator (Yellow stripe like transporter) of 600 aas and 12 TMSs. The outer
membrane loop between the sixth and seventh transmembrane regions is essential for substrate
specificity. A synthetic peptide corresponding to the loop
of HvYS1 forms an alpha-helix in solution, whereas that of the corn orthologue, ZmYS1, is flexible. Harada et al. 2007 proposed that this
structural difference determines the narrow substrate specificity of HvYS1 compared to that of ZmYS1 which is of broad specificity."	HvYS1 of Hordeum vulgare (Barley)
2.A.67.2.11	Ysl2 of 674 aas and 14 TMSs. OsYSL2 is a rice metal-nicotianamine transporter that is regulated by iron and expressed in the phloem (Koike et al. 2004). Methyl jasmonate increased Fe accumulation in leaves by increasing expression of FRDL1 (a member of the Mop family (TC# 2.A.66) and YSL2 transporters under arsenate toxicity (Mousavi et al. 2020).	YSL2 of Oryza sativa (rice)
2.A.67.2.2	The metal (iron, copper, and zinc) nicotinamide transporter, YSL1 (Waters et al., 2006) (57% identity with YS1). YSL1 and YSL3 function in the delivery of metal micronutrients to and from vascular tissues.	Plants
2.A.67.2.3	The metal (iron and copper)-nicotinamide transporter, YSL2 (mediates lateral movement of metals in the vasculature; DiDonato et al., 2004) (62% identity with YS1).	Plants
2.A.67.2.4	The probable metal (iron, copper, and zinc)-nicotinamide transporter, YSL3; functionally redundant with YSL1 (Waters et al., 2006).	Plants
2.A.67.2.5	The rice iron(III)-deoxymugineic acid transporter, YSL18 (specifically expressed in reproductive organs and phloem of lamina joints) (Aoyama et al., 2009).PlantsYSL18 of Oryza sativa (Q941V3)	Plants
2.A.67.2.6	OPT family memberSlime moldOPT family homologue of Dictyostelium discoideum (Q54EF1)	Slime mold
2.A.67.2.7	Putative oligopeptide transporter YGL114W	Fungi
2.A.67.2.8	The metal-phytosiderophore complex transporter, HvYSL2 (Araki et al. 2011).	Plants
2.A.67.2.9	Yellow stripe-like 7 protein, YSL7; expression gives rise to heavy metal tolerance in Brassica juncea (Wang et al. 2013).	Plants
TC#	Name	Organismal Type
2.A.67.3.1	Early sporulation protein, EspB (temporal control protein)	Bacteria
TC#	Name	Organismal Type
2.A.67.4.1	Orf HI0561/560	Bacteria
2.A.67.4.2	OPT family memberArchaeaOPT family member from Pyrococcus horikoshii (O58099)	Archaea
2.A.67.4.3	OPT family member	Bacteria
TC#	Name	Organismal Type
2.A.67.5.1	Putative oligopeptide transporter	Proteobacteria
TC#	Name	Organismal Type
9.B.111.1.1	Lysyl tRNA synthetase of 601 aas and 7 or 8 putative TMSs in an apparent 6 + 1 TMS arrangement, possibly with an additional C-terminal TMS, LysS (shows sequence similarity to MFS permease-like proteins with TC#s 4.H.1 and 2.A.1.3.9).	Bacteria
9.B.111.1.2	Lysyl tRNA synthetase, LysS2 (shows extensive sequence similarity to MFS permease-like proteins  with TC#s 4.H.1.1.	Bacteria
9.B.111.1.3	DUF2156 domain-containing protein of 608 aas and 6 putative N-terminal TMSs, possibly followed by more, including one at the C-terminus.	DUF2156 protein of Kitasatospora cheerisanensis
9.B.111.1.4	DUF2156 domain-containing protein of 584 aas and 7 N-terminal TMSs.	DUF2156 of Frankia coriariae
9.B.111.1.5	Lysine-tRNA ligase of 909 aas and 6 central putatve TMSs (residues 401 to 560) with a C-terminal ligase domain. The transmembrane domain of this protein shows poor sequence similarity with other members of this family and with MFS porters.	tRNA ligase of Solirubrobacter pauli
TC#	Name	Organismal Type
2.A.89.1.1	The vacuolar Fe2+/Mn2+ uptake transporter, Ccc1	Yeast
2.A.89.1.10	VIT family protein, partial, of 214 aas and 5 TMSs	VIT family protein of Lokiarchaeum sp. GC14_75 (marine sediment metagenome)
2.A.89.1.11	Uncharacterized VIT family protein of 222 aas and 5 TMSs in a 2 + 3 TMS arrangement.	UP of Candidatus Thorarchaeota archaeon AB_25 (marine sediment metagenome)
2.A.89.1.12	Uncharacterized protein of 203 aas and 5 TMSs in a 2 + 3 TMS arrangement.	UP of Candidatus Odinarchaeota archaeon LCB_4 (hot springs metagenome)
2.A.89.1.13	Vacuolar ferrous iron transporter, VIT, of 273 aas and 5 TMSs in a 2 + 3 TMS arrangement.	Iron transporter of Plasmodium falciparum
2.A.89.1.2	The vacuolar Fe2+ uptake transporter, VIT1 of 250 aas and 5 putative TMSs (Gollhofer et al. 2011). The crystal structure of the orthogous VIT1 from rose gum, Eucalyptus grandis, which probably functions as a H+-dependent antiporter for Fe2+ and other transition metal ions, has been solved. VIT1 adopts a novel protein fold forming a dimer of five membrane-spanning domains, with an ion-translocating pathway constituted by the conserved methionine and carboxylate residues at the dimer interface. The second transmembrane helix protrudes from the lipid membrane by about 40 Å, and connects to a three-helical bundle, triangular, cytoplasmic domain, which binds to the substrate metal ions in preparation for their transport (Kato et al. 2019).	Plants
2.A.89.1.3	Uncharacterized protein of 242 aas and 5 TMSs	Bacteroidetes
2.A.89.1.4	Uncharacterized protein of 252 aas with 5 TMSs	Chlamidiae
2.A.89.1.5	CCC1 (VIT) family protein of 248 aas and probably 5 TMSs in a 2 + 3 TMS arrangement.	Chlamydia
2.A.89.1.6	Uncharacterized protein of 173 aas and 5 TMSs.	UP of Candidatus Sungbacteria bacterium
2.A.89.1.7	VIT family protein of 192 aas and 5 TMSs in a 2 + 3 TMS arrangement	VIT protein of Methanobacterium sp.
2.A.89.1.8	Uncharacterized protein of 183 aas and 5 TMSs in a 2 + 3 TMS arrangement.	UP of Sulfolobus sp. A20
2.A.89.1.9	Uncharacterized protein of 194 aas and 5 TMSs.	Proteobacteria
TC#	Name	Organismal Type
2.A.89.2.1	Member of rubrerythrin family of electron transporters; of 327 aas and 5 TMSs.	Proteobacteria
2.A.89.2.2	Membrane-bound ferritin-like ferrous iron (Fe2+) exporter, MbfA, of the erythrin-vacuolar iron transport-1 (Er-VIT1) family of 327 aas.  The protein has an N-terminal ferritin domain and a C-terminal VIT domain of 5 established TMSs (Bhubhanil et al. 2014).	Proteobacteria
2.A.89.2.3	VIT family member of 2690 aas and 5 TMSs.	Proteobacteria
TC#	Name	Organismal Type
2.A.89.3.1	The bacterial VIT family homologue	Bacteria
2.A.89.3.10	The archaeal VIT family homologue	Archaea
2.A.89.3.2	VIT family member, Spr0814 (Becker et al., 2009).	Bacteria
2.A.89.3.3	Vacuolar Nodulin-like1 (At1g21140) Iron regulated (Gollhofer et al., 2011).	Plants
2.A.89.3.4	Nodulin-like2 (At1g76800) Iron regulated (Gollhofer et al., 2011).	Plants
2.A.89.3.5	Nodulin-like2.1 (At3g25190) Iron regulated; involved in Fe homeostasis (Gollhofer et al., 2011).	Plants
2.A.89.3.6	Nodulin-like3 (At3g43630) Not iron regulated; involved in Fe homeostasis (Gollhofer et al., 2011).	Plants
2.A.89.3.7	Nodulin-like4 (At3g43660) Not iron regulated (Gollhofer et al., 2011).	Plants
2.A.89.3.8	Fe2+/Mn2+ transporter Pcl1 (Pombe ccc1-like protein 1)	Yeast
2.A.89.3.9	VIT family protein of 413 aas with an N-terminal rubrerythrin-like (ferritin-like) domain and a C-terminal DUF125 (5 TMS) domain.	Verucomicrobia
TC#	Name	Organismal Type
TC#	Name	Organismal Type
TC#	Name	Organismal Type
